Name,Score,Weight
Doris Belack,6.28333333333,1.5
Stuart Gillard,5.26,3.5
Ben Torgersen,4.25,0.5
Samuel Barnett,6.07,0.5
Cristina Contes,5.51,0.5
Jacki Weaver,6.90958333333,2.4
Paul Kynman,5.54,0.5
Dan Finnerty,3.61,0.5
Tony Bancroft,6.57,3.5
Barry Sigismondi,4.53,0.5
Hattie Morahan,6.53,0.5
Antony Coleman,6.64,0.5
Andreas Wisniewski,6.73,1.0
Josep Maria Domnech,6.48,0.5
George Buck,6.61,1.0
Walter Salles,5.49,3.5
David Foy,4.79,0.5
Robert King,5.61,1.3
Gary Young,6.09,1.3
Don Reed,7.17,0.5
Tyra Banks,5.33,2.9
Michael Nader,5.19,0.5
Chic Littlewood,6.14,0.5
Sean Maher,6.62,0.5
Shauna Kain,5.36,0.5
Michelle Dyzla,5.84,0.5
Richard Appel,6.0,0.5
Christie Cronenweth,7.1,0.5
Michael Karnow,4.82,0.5
Francis Lawrence,6.30666666667,10.5
Mary-Charles Jones,5.72,0.5
Kenneth Nkosi,6.43,1.9
Julie Kavner,6.30848178138,9.88
Jim Robinson,6.22,1.9
Alex Esmail,5.5,1.9
Vonetta McGee,5.65,0.5
Perry R. Russo,6.92,0.5
Natalie Barish,5.01,0.5
Mihlyn Kirly,6.11,0.5
Velizar Binev,5.76,5.48
Shari Shattuck,4.72,0.5
Lymari Nadal,6.75,0.5
Andrea Marcovicci,5.17416666667,2.4
Nancy Lenehan,6.03,2.5
Paul Schrier,5.16,0.5
Katy Selverstone,5.82,0.5
John Putch,5.378,5.0
Mrit Carlson-van Dort,5.94,0.5
Lung Ti,5.36,0.5
John Cho,6.34340909091,14.96
Dell Yount,6.335,1.0
John Burton,7.04,0.5
Tom Gold,4.88,0.5
Bob Sapp,5.39333333333,1.5
Alfonso Arau,6.08623188406,6.9
Ian Wallace,5.71,0.5
Ken Swofford,6.68,0.5
Diego Catao,6.09,0.5
Mark Lambert,5.58,1.0
Mark Hadlow,7.0,1.0
Brian Bosworth,5.33,5.48
Tadashi Yamashita,5.75,0.5
Jonah Hill,6.550269179,29.72
Dequina Moore,5.44,0.5
Femi Elufowojo,5.85,0.5
Antnio Fragoso,5.56,0.5
Gabrielle Rose,4.64,1.0
Ken Lerner,5.48,1.5
Steve Faber,6.7,1.3
Peter Boyden,6.37,0.5
Busta Rhymes,5.40852941176,3.4
Vicki Wauchope,5.86,0.5
Bennett Davlin,5.08,1.3
Edward Janda,6.19,0.5
Hope Glendon-Ross,6.51,0.5
James Pumphrey,5.13,0.5
Paula Abdul,6.07,5.48
John Howard,5.74,0.5
Taylor Sharpe,5.39,1.9
Riley Griffiths,6.62,0.5
Dean Goodman,6.14,0.5
Simon Gleeson,5.46,0.5
Caleb Carr,5.57,0.5
Paul Graham,4.91,0.5
Catherine Hardwicke,6.02960784314,15.3
Rafi Gavron,6.45,1.9
Tony Alcantar,4.14,0.5
Bobby Campo,5.39,5.48
Boris Brkic,5.39,0.5
Cliff Haby,6.22,0.5
Josip Elic,7.99,0.5
Reiner Schwartz,6.17,0.5
