imdb_id,title,rating,directors,writers,actors,budget,gross,financial score,score
tt0120376,Trojan War,5.2,['George Huang'],"['Andy Burg', 'Scott Myers']","['Will Friedle', 'Jennifer Love Hewitt', 'Marley Shelton', 'Danny Masterson', 'Jason Marsden', 'Eric Balfour', 'Jennie Kwan', 'Charlotte Ayanna', 'Lee Majors', 'John Finn', 'Wendie Malick', 'Christine Deaver', 'Mike Moroff', 'Lobo Sebastian', 'Joe Cerrano']","$15,000,000 ",$217 ,0.00 ,2.60 
tt0887719,Blonde Ambition,3.7,['Scott Marshall'],"['David McHugh', 'Matthew Flanagan']","['Jessica Simpson', 'Luke Wilson', 'Rachael Leigh Cook', 'Penelope Ann Miller', 'Andy Dick', 'Drew Fuller', 'Larry Miller', 'Willie Nelson', 'Piper Mackenzie Harris', 'Ritchie Montgomery', 'Niki Spiridakos', 'Karen McClain', 'Bill Jenkins', 'Paul Vogt', 'Drew Waters']","$10,000,000 ","$6,422 ",1.89 ,2.80 
tt1545106,Vamps,4.6,['Amy Heckerling'],['Amy Heckerling'],"['Alicia Silverstone', 'Krysten Ritter', 'Dan Stevens', 'Richard Lewis', 'Sigourney Weaver', 'Wallace Shawn', 'Justin Kirk', 'Malcolm McDowell', 'Zak Orth', 'Marilu Henner', 'Scott Thomson', 'Todd Barry', 'Kristen Johnston', 'Natalie Gal', 'Meredith Scott Lynn']","$16,000,000 ","$2,964 ",1.27 ,2.94 
tt1396221,Passion Play,4.3,['Mitch Glazer'],['Mitch Glazer'],"['Mickey Rourke', 'Megan Fox', 'Bill Murray', 'Kelly Lynch', 'Rhys Ifans', 'Chris Browning', 'Mark Sivertsen', 'Rory Cochrane', 'Frank Bond', 'Arron Shiver', 'Lora Martinez-Cunningham', 'Robert Wisdom', 'Liezl Carstens', 'Alex Essoe', 'Brian Doyle-Murray']","$8,000,000 ","$3,669 ",1.73 ,3.01 
tt0107819,Philadelphia Experiment II,4.4,['Stephen Cornwell'],"['Wallace C. Bennett', 'Don Jakoby']","['Brad Johnson', 'Marjean Holden', 'Gerrit Graham', 'John Christian Graas', ""Cyril O'Reilly"", 'Geoffrey Blake', 'Lisa Robins', 'David Wells', 'Larry Cedar', 'Al Pugliese', 'James Greene', 'Andrew Steel', 'Allen Perada', 'Hank Stone', 'John Rixey Moore']","$5,000,000 ","$1,926 ",1.64 ,3.02 
tt1520498,The Oogieloves in the Big Balloon Adventure,1.9,['Matthew Diamond'],"['Scott Stabile', 'Kenn Viselman']","['Cary Elwes', 'Christopher Lloyd', 'Jaime Pressly', 'Garrett Clayton', 'Cloris Leachman', 'Chazz Palminteri', 'Toni Braxton', 'Maya Stange', 'Nick Drago', 'Malerie Grady', 'Steve Blackwood', 'Heather Rose', 'Alecia Jai Fears', ""Kylie O'Brien"", 'Stephanie Renz']","$12,000,000 ","$1,064,277 ",4.36 ,3.13 
tt1592873,LOL,3.5,['Lisa Azuelos'],"['Lisa Azuelos', 'Kamir Anouz']","['Jean-Luc Bilodeau', 'Douglas Booth', 'Vivian Le Borgne', 'Bridget M. Brown', 'Jim Carrane', 'Woody Carter', 'Miley Cyrus', 'Felix Dayan', 'Sam Derence', 'Nora Dunn', 'Lina Esco', 'Trevor Fahnstrom', 'George Finn', 'Rebecca Finnegan', 'Alix Freihage']","$11,000,000 ","$46,500 ",2.84 ,3.17 
tt1132449,Lay the Favorite,4.7,['Stephen Frears'],"['Beth Raymer', 'D.V. DeVincentis']","['Bruce Willis', 'Vince Vaughn', 'Rebecca Hall', 'Catherine Zeta-Jones', 'Laura Prepon', 'Joshua Jackson', 'Frank Grillo', 'Joel Murray', 'Corbin Bernsen', 'John Carroll Lynch', 'Andrea Frankle', 'Dominique DuVernay', 'Michelle Torres', 'Lara Grice', 'Ritchie Montgomery']","$26,350,000 ","$20,998 ",2.00 ,3.35 
tt0118589,Glitter,2,['Vondie Curtis-Hall'],"['Cheryl L. West', 'Kate Lanier']","['Mariah Carey', 'Max Beesley', 'Da Brat', 'Tia Texada', 'Valarie Pettiford', 'Ann Magnuson', 'Terrence Howard', 'Dorian Harewood', 'Grant Nickalls', 'Eric Bent', 'Padma Lakshmi', 'Don Ackerman', 'Ed Sahely', 'Carmen Wong', 'James Allodi']","$22,000,000 ","$4,273,372 ",4.75 ,3.37 
tt0339034,From Justin to Kelly,1.7,['Robert Iscove'],['Kim Fuller'],"['Kelly Clarkson', 'Justin Guarini', 'Katherine Bailess', 'Anika Noni Rose', 'Greg Siff', 'Brian Dietzen', 'Jason Yribar', 'Theresa San-Nicholas', 'Justin Gorence', 'Christopher Bryan', 'Kaitlin Riley', 'Renee Robertson', 'Yamil Piedra', 'Marc Macaulay', 'Toi Svane Stepp']","$12,000,000 ","$4,922,166 ",5.12 ,3.41 
tt0362165,Son of the Mask,2.1,['Lawrence Guterman'],['Lance Khazei'],"['Jamie Kennedy', 'Alan Cumming', 'Liam Falconer', 'Ryan Falconer', 'Traylor Howard', 'Steven Wright', 'Kal Penn', 'Ben Stein', 'Brett Pickup', 'Peter Callan', 'Ashley Lyons', 'Wayne McDaniel', 'Sandy Winton', 'Rebecca Massey', 'Issac Longmuir']","$84,000,000 ","$17,010,646 ",4.77 ,3.43 
tt0299930,Gigli,2.4,['Martin Brest'],['Martin Brest'],"['Ben Affleck', 'Terry Camilleri', 'David Backus', 'Lenny Venito', 'Robert Silver', 'Luis Alberto Martnez', 'Justin Bartha', 'Jennifer Lopez', 'Christopher Walken', 'Todd Giebenhain', 'Brian Sites', 'Brian Casey', 'Les Bradford', 'David Bonfadini', 'Dwight Ketchum']","$54,000,000 ","$6,068,735 ",4.47 ,3.44 
tt1436559,"Love, Wedding, Marriage",4.7,['Dermot Mulroney'],"['Anouska Chydzik', 'Caprice Crane']","['Mandy Moore', 'Kellan Lutz', 'James Brolin', 'Jane Seymour', 'Jessica Szohr', 'Michael Weston', 'Marta Zmuda', 'Richard Reid', 'Christopher Lloyd', 'Alexis Denisof', 'Alyson Hannigan', 'Colleen Camp', 'Andrew Keegan', 'Gabrielle Shuff', 'Bob Edes']","$1,200,000 ","$1,378 ",2.18 ,3.44 
tt0266747,Marci X,2.6,['Richard Benjamin'],['Paul Rudnick'],"['Lisa Kudrow', 'Damon Wayans', 'Richard Benjamin', 'Jane Krakowski', 'Christine Baranski', 'Paula Garcs', 'Charles Kimbrough', 'Veanne Cox', 'Sherie Rene Scott', 'Gano Grills', 'Nashawn Kearse', 'Myron Primes', 'Billy Griffith', 'Andrew Keenan-Bolger', 'Adam Fleming']","$20,000,000 ","$1,646,664 ",4.32 ,3.46 
tt0238948,Double Take,4.9,['George Gallo'],"['Graham Greene', 'Guy Elmes']","['Orlando Jones', 'Eddie Griffin', 'Gary Grubbs', 'Daniel Roebuck', 'Sterling Macer Jr.', 'Benny Nieves', 'Garcelle Beauvais', 'Andrea Navedo', 'Edward Herrmann', 'Shawn Elliott', 'Brent Briscoe', 'Donna Eskra', 'Carlos Carrasco', 'Frank Pesce', 'Julie Lott']","$24,000,000 ","$20,218 ",2.03 ,3.46 
tt1674784,Trespass,5.2,['Joel Schumacher'],['Karl Gajdusek'],"['Nicolas Cage', 'Nicole Kidman', 'Ben Mendelsohn', 'Liana Liberato', 'Cam Gigandet', 'Jordana Spiro', 'Dash Mihok', 'Emily Meade', 'Nico Tortorella', 'Brandon Belknap', 'Terry Milam', 'Tina Parker', 'David Maldonado', 'Nilo Otero', 'Simone Levin']","$35,000,000 ","$16,816 ",1.75 ,3.47 
tt0960741,The Canyon,5.7,['Richard Harrah'],['Steve Allrich'],"['Eion Bailey', 'Yvonne Strahovski', 'Will Patton', 'Wendy Worthington', 'Andrea Marcellus', 'Christopher Sweeney', 'Solomon Loop', 'Ed Tracey']","$10,000,000 ","$1,785 ",1.25 ,3.48 
tt0472071,Death Defying Acts,5.8,['Gillian Armstrong'],"['Tony Grisoni', 'Brian Ward']","['Guy Pearce', 'Catherine Zeta-Jones', 'Timothy Spall', 'Saoirse Ronan', 'Malcolm Shields', 'Leni Harper', 'Ralph Riach', 'Olivia Darnley', ""Anthony O'Donnell"", 'Billy McColl', 'James Holmes', 'Melanie Harris', ""Aileen O'Gorman"", 'Raymond Griffiths', 'Shaun Mason']","$20,000,000 ","$3,561 ",1.25 ,3.53 
tt1213644,Disaster Movie,1.8,"['Jason Friedberg', 'Aaron Seltzer']","['Jason Friedberg', 'Aaron Seltzer']","['Matt Lanter', 'Vanessa Lachey', ""Gary 'G. Thang' Johnson"", 'Nicole Parker', 'Crista Flanagan', 'Kim Kardashian', 'Ike Barinholtz', 'Carmen Electra', 'Tony Cox', 'Tad Hilgenbrink', 'Nick Steele', 'John Di Domenico', 'Jason Boegh', 'Valerie Wildman', 'Abe Spigner']","$25,000,000 ","$14,190,901 ",5.28 ,3.54 
